"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Modifier 1","All Occurrence Behavior Modifier 2","All Occurrence Behavior Modifier 3","All Occurrence Behavior Social Modifier","All Occurrence Comment","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:13:42","2020-03-17","15:13:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","7","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:13:42","2020-03-17","15:13:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","7","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:14:42","2020-03-17","15:14:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","8","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:14:42","2020-03-17","15:14:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","8","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:15:42","2020-03-17","15:15:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","9","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:15:42","2020-03-17","15:15:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","9","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:16:42","2020-03-17","15:16:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","10","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:16:42","2020-03-17","15:16:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","10","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:17:42","2020-03-17","15:17:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","11","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:17:42","2020-03-17","15:17:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","11","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:18:42","2020-03-17","15:18:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","12","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:18:42","2020-03-17","15:18:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","12","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:19:42","2020-03-17","15:19:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","13","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:19:42","2020-03-17","15:19:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","13","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:20:42","2020-03-17","15:20:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","14","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:20:42","2020-03-17","15:20:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","14","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:21:42","2020-03-17","15:21:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","15","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:21:42","2020-03-17","15:21:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","15","","","Inactive","Out of view"
"1688","Hyrax","Lindsay Rodgers","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-20 15:52:25","2020-03-20 16:07:25","2020-03-20 15:53:25","2020-03-20","15:53:25","2020","3","15","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","1","","","Inactive","Standing"
"1688","Hyrax","Lindsay Rodgers","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-20 15:52:25","2020-03-20 16:07:25","2020-03-20 15:53:25","2020-03-20","15:53:25","2020","3","15","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","1","","","Inactive","Sleeping"
"1688","Hyrax","Lindsay Rodgers","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-20 15:52:25","2020-03-20 16:07:25","2020-03-20 15:54:25","2020-03-20","15:54:25","2020","3","15","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","2","","","Inactive","Standing"
"1688","Hyrax","Lindsay Rodgers","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-20 15:52:25","2020-03-20 16:07:25","2020-03-20 15:54:25","2020-03-20","15:54:25","2020","3","15","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","2","","","Inactive","Sleeping"
"1688","Hyrax","Lindsay Rodgers","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-20 15:52:25","2020-03-20 16:07:25","2020-03-20 15:55:25","2020-03-20","15:55:25","2020","3","15","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","3","","","Inactive","Standing"
"1688","Hyrax","Lindsay Rodgers","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-20 15:52:25","2020-03-20 16:07:25","2020-03-20 15:55:25","2020-03-20","15:55:25","2020","3","15","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","3","","","Inactive","Sleeping"
