"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Social Modifier","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 2 Social Modifier"
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:38:24","2019-07-09","15:38:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","12","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:38:24","2019-07-09","15:38:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","12","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:38:24","2019-07-09","15:38:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","12","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:39:24","2019-07-09","15:39:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","13","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:39:24","2019-07-09","15:39:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","13","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:39:24","2019-07-09","15:39:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","13","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:39:24","2019-07-09","15:39:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","13","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:40:24","2019-07-09","15:40:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","14","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:40:24","2019-07-09","15:40:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","14","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:40:24","2019-07-09","15:40:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","14","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:40:24","2019-07-09","15:40:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","14","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:41:24","2019-07-09","15:41:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","15","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:41:24","2019-07-09","15:41:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","15","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:41:24","2019-07-09","15:41:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","15","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:41:24","2019-07-09","15:41:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","15","","","Active","Eating",""
"1285","Squirrel monkey","Liz Jones","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-09-01 13:49:36","2019-09-01 14:04:36","2019-09-01 13:50:36","2019-09-01","13:50:36","2019","9","13","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","","Interval","Brazil","","","1","","","Active","Eating",""
"1285","Squirrel monkey","Liz Jones","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-09-01 13:49:36","2019-09-01 14:04:36","2019-09-01 13:50:36","2019-09-01","13:50:36","2019","9","13","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","","Interval","Damian","","","1","Inactive","Out of view","","",""
"1285","Squirrel monkey","Liz Jones","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-09-01 13:49:36","2019-09-01 14:04:36","2019-09-01 13:50:36","2019-09-01","13:50:36","2019","9","13","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","","Interval","Filbert","","","1","","","Active","Eating",""
"1285","Squirrel monkey","Liz Jones","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-09-01 13:49:36","2019-09-01 14:04:36","2019-09-01 13:50:36","2019-09-01","13:50:36","2019","9","13","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","","Interval","Isabel","","","1","","","Active","Eating",""
