STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT11
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/1/18,58,73,50,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/2/18,67,87,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/3/18,74,94,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/4/18,62,69,48,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/5/18,60,84,37,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/6/18,53,59,44,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/7/18,49,56,42,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/8/18,47,49,43,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/9/18,43,44,38,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/10/18,38,43,36,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/11/18,40,49,37,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/12/18,47,64,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/13/18,52,72,33,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/14/18,40,43,22,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/15/18,28,48,16,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/16/18,39,62,23,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/17/18,47,59,37,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/18/18,46,66,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/19/18,53,73,38,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/20/18,51,73,30,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/21/18,52,79,31,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/22/18,56,77,37,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/23/18,54,66,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/24/18,53,54,45,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/25/18,53,70,42,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/26/18,55,69,40,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/27/18,55,81,37,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/28/18,56,73,38,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/29/18,54,83,38,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/30/18,52,54,35,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",10/31/18,39,46,29,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/1/18,40,59,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/2/18,44,68,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/3/18,51,56,35,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/4/18,40,57,28,,1,1,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/5/18,50,63,32,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/6/18,41,55,25,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/7/18,40,51,28,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/8/18,37,45,25,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/9/18,31,44,19,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/10/18,33,65,17,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",11/11/18,34,33,23,,1,1,,,,,1,,
